Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,GCV
2.8,36.5,52.0,8.7,29.81264921
2.1,37.6,50.5,9.8,29.88429171
1.5,36.8,54.5,7.2,32.2829612
3.0,32.6,54.0,10.4,29.28952626
1.0,35.0,58.3,5.7,33.14155789
2.7,35.7,50.7,10.9,28.91405243
2.7,34.0,61.1,2.2,32.73745545
2.9,34.2,59.8,3.1,32.46932415
2.2,34.7,59.3,3.8,32.49906274
2.4,33.9,58.7,5.0,31.95611519
3.3,31.3,51.1,14.3,27.83488961
2.4,31.1,60.7,5.8,31.57075711
2.3,36.5,53.1,8.1,30.36812217
2.6,30.5,63.1,3.8,31.93630649
4.95,28.25,55.45,11.35,27.79731442
1.5,33.8,54.9,9.8,30.8320694
2.0,37.6,54.8,5.6,31.46543898
2.6,33.2,54.7,9.5,30.14804298
6.3,18.4,63.7,11.6,27.73990458
1.5,39.8,48.7,10.0,30.1404419
5.7,18.2,63.5,12.6,27.895424
2.4,16.6,75.9,5.1,33.06764645
3.1,16.7,73.4,6.8,31.70460712
1.5,16.8,71.1,10.6,31.58720951
0.63,30.13,58.53,10.71,31.47136011
3.5,38.1,47.7,10.7,29.37855235
2.0,34.4,54.6,9.0,30.99438474
1.5,30.5,48.3,19.7,27.29309767
2.6,39.2,51.2,7.0,31.07826626
3.1,29.6,60.8,6.5,31.2384345
1.5,35.5,57.6,5.4,32.54855936
2.5,31.8,56.6,9.1,30.78154697
1.8,35.2,53.6,9.4,30.89317322
3.5,32.1,56.9,7.5,30.36280719
2.4,34.0,57.2,6.4,31.66147767
3.3,31.5,55.0,10.2,29.49976809
2.5,34.8,54.8,7.9,30.8811557
1.4,39.4,48.9,10.3,30.19870149
3.22,33.31,60.49,2.98,32.15120067
2.2,33.8,55.8,8.2,30.36276071
5.8,29.6,56.8,7.8,28.3979088
2.7,34.2,56.5,6.6,31.17957658
2.1,40.8,50.6,6.5,31.03326187
2.6,40.8,50.8,5.8,31.01056917
2.7,35.1,55.5,6.7,30.65729607
1.9,33.7,55.9,8.5,30.50149068
2.2,33.9,56.7,7.2,31.11253434
3.1,32.9,57.4,6.6,30.48866338
3.2,33.9,60.7,2.2,32.54936619
2.0,33.7,49.9,14.4,28.14754295
4.3,36.6,48.0,11.1,27.81150103
2.5,15.7,75.1,6.7,32.49244937
1.5,15.0,77.5,6.0,33.28101639
1.9,17.1,75.1,5.9,32.98649611
1.5,35.1,47.0,16.4,27.94801984
2.4,32.1,53.9,11.6,29.92430142
2.0,32.1,56.3,9.6,30.47039843
2.5,30.1,56.3,11.1,29.79403255
3.2,34.7,56.6,5.5,31.58191128
2.5,35.0,54.6,7.9,30.92687774
2.9,32.1,58.3,6.7,31.22851005
4.2,30.1,57.4,8.3,29.40811801
9.9,26.4,51.9,11.8,24.8108925
3.1,31.1,52.5,13.3,28.36958626
3.5,33.5,53.6,9.4,29.58703983
1.9,33.5,56.9,7.7,30.95741729
3.4,32.5,52.7,11.4,28.9349644
1.1,35.7,51.0,12.2,29.99202196
2.3,34.3,53.5,9.9,30.12758907
2.5,34.0,54.7,8.8,30.24717062
3.0,35.4,56.0,5.6,31.12892979
1.8,40.0,50.4,7.8,30.92976677
2.9,32.2,55.5,9.4,29.89744014
3.2,37.0,52.7,7.1,30.42112749
2.1,40.7,50.4,6.8,31.19025636
2.4,41.0,51.0,5.6,30.96513603
4.2,35.3,57.3,3.2,31.27811428
1.8,33.2,60.9,4.1,32.47204068
3.3,40.3,49.5,6.9,29.6370234
2.9,34.3,50.2,12.6,28.57734729
3.8,35.3,47.8,13.1,27.74453666
3.1,38.4,52.2,6.3,30.27241446
4.4,36.3,53.5,5.8,29.67975383
1.7,18.9,74.8,4.6,33.64724826
3.2,15.6,76.4,4.8,32.5266693
2.8,17.0,72.8,7.4,31.72828712
1.6,16.8,71.0,10.6,31.21235661
1.5,17.3,74.4,6.8,32.80013525
1.8,29.9,52.2,16.1,28.27324004
1.17,28.06,57.67,13.1,30.31507664
1.0,27.5,54.2,17.3,29.04907104
4.3,25.8,59.9,10.0,29.21033041
2.6,34.4,56.9,6.1,31.86820159
2.5,34.9,52.3,10.3,30.11082097
2.1,30.0,54.5,13.4,29.37026795
1.7,34.8,52.8,10.7,30.56367516
1.8,33.0,49.4,15.8,28.45620775
1.6,42.1,40.6,15.7,28.21669879
1.6,34.2,53.1,11.1,30.4897072
2.8,35.55,53.86,7.79,30.61032295
3.8,35.2,57.0,4.0,31.07318826
4.0,28.4,60.3,7.3,29.90000342
4.8,28.3,58.6,8.3,28.60410683
2.5,34.9,58.8,3.8,32.17280333
3.1,36.5,51.4,9.0,29.70034884
3.1,33.3,58.0,5.6,31.13943875
4.1,31.6,55.3,9.0,29.10433818
4.3,32.8,54.9,8.0,29.28846611
2.6,32.2,58.2,7.0,30.64598363
2.9,34.6,51.4,11.1,28.93837053
6.1,35.5,51.8,6.6,27.71183326
2.65,36.65,53.52,7.18,30.99913363
1.2,16.4,66.5,15.9,29.31884447
3.9,36.4,46.6,13.1,27.31131363
2.7,34.5,53.3,9.5,29.95902086
2.4,26.1,62.6,8.9,30.27819336
3.1,31.4,47.4,18.1,26.48055254
2.5,36.0,55.3,6.2,31.17589956
2.9,41.1,46.7,9.3,29.16604284
3.2,38.9,49.6,8.3,29.27858228
4.8,36.3,50.7,8.2,27.94043383
2.3,39.6,51.8,6.3,30.74732996
2.1,40.9,55.1,1.9,32.88932212
2.6,34.5,52.0,10.9,29.62726476
2.6,33.3,48.4,15.7,27.92994372
3.4,33.4,53.2,10.0,29.47371072
2.0,37.3,54.4,6.3,32.11006113
5.2,31.3,50.2,13.3,26.83190883
2.3,33.1,48.4,16.2,27.60730941
2.8,33.6,52.9,10.7,29.11468468
4.3,33.4,49.8,12.5,27.491345
3.5,37.2,53.2,6.1,30.60967899
2.5,41.4,46.6,9.5,29.37232838
2.8,29.7,50.1,17.4,26.76602388
3.9,35.1,55.9,5.1,30.51378203
3.4,33.5,55.5,7.6,29.84864903
2.4,30.4,38.7,28.5,24.76671463
1.7,17.8,71.3,9.2,31.52307304
3.3,35.5,43.2,18.0,26.05299997
2.1,27.0,48.8,22.1,26.00287948
1.3,29.4,49.8,19.5,27.15593741
3.1,33.5,50.3,13.1,27.98902062
3.5,34.4,51.4,10.7,28.86056602
2.4,35.4,51.7,10.5,29.68810103
3.7,35.9,52.9,7.5,29.90836403
3.8,35.8,51.0,9.4,28.8602633
2.6,39.2,53.0,5.2,31.25729651
3.9,38.2,54.5,3.4,31.15033248
2.2,32.1,55.6,10.1,29.63550896
4.2,37.2,55.7,2.9,31.02420874
1.7,31.8,55.1,11.4,29.30711501
3.6,35.4,57.2,3.8,30.75676579
9.2,22.5,46.6,21.7,21.23074958
1.8,32.9,53.3,12.0,29.99190305
2.7,32.5,56.3,8.5,30.6214453
4.3,31.1,55.4,9.2,29.28846611
1.2,32.1,52.2,14.5,29.10042376
2.8,33.0,52.0,12.2,28.70852223
2.8,35.8,49.7,11.7,29.00887082
3.1,33.4,50.4,13.1,27.966706
3.2,32.8,53.8,10.2,29.17523037
4.2,39.3,49.0,7.5,29.18549941
5.1,34.9,57.6,2.4,30.76135851
4.2,36.7,52.0,7.1,29.69290938
3.0,34.7,47.1,15.2,27.02611362
2.9,26.6,54.2,16.3,26.648231
2.3,15.4,75.0,7.3,32.17989275
0.4,38.5,53.4,7.7,34.04635435
1.7,16.2,71.2,10.9,30.84231625
3.7,27.9,45.6,22.8,24.59125881
2.7,36.8,39.6,20.9,24.1862323
1.9,30.5,58.3,9.3,30.43330706
1.2,28.6,57.8,12.4,30.09945033
5.5,36.0,50.1,8.4,28.52554112
1.8,33.7,56.7,7.8,30.8294429
3.4,35.2,52.6,8.8,29.31677861
3.7,39.8,49.4,7.1,29.40717636
3.0,35.6,52.1,9.3,29.55107978
